Tipo,Subtipo,Descripcion,Descripcion_Limpia
Mobiliario,Mobiliario,"ESCRITORIO MELAMINA CAFÉ, CON DOS CAJONES, 1.20X 0.60 M.","['escritorio', 'melamina', 'caf', 'dos', 'cajones', 'm']"
Mobiliario,Mobiliario,CESTO DE BASURA MADERA COLOR AMBAR,"['cesto', 'basura', 'madera', 'color', 'ambar']"
Mobiliario,Mobiliario,MESA FORJADAS EN HIERRO,"['mesa', 'forjadas', 'hierro']"
Mobiliario,Mobiliario,ESCRITORIO TIPO BALA EXTENSIÓN LATERAL DERECHA,"['escritorio', 'tipo', 'bala', 'extensin', 'lateral', 'derecha']"
Mobiliario,Mobiliario,MODULO ESQUINERO GRIS 90X90 (CCIP),"['modulo', 'esquinero', 'gris', 'ccip']"
Mobiliario,Mobiliario,ESTANTES DOBLES DE 6 FILAS POR 9 ENTREPAÑOS NO.21,"['estantes', 'dobles', 'filas', 'entrepaos']"
Equipo,Equipo,CAÑON PROYECTOR UBICADO EN R9,"['caon', 'proyector', 'ubicado', 'r']"
Equipo,Equipo,"CON MONITOR CN-0CC639-72872-5AK-260S, TECLADO CN-OW7646-37172-5B3-01G9, MOUSE SN","['monitor', 'cnccaks', 'teclado', 'cnowbg', 'mouse', 'sn']"
Equipo,Equipo,"CPU PENTIUM IV, 2.6 GHZ, HT, 80GB DD, 512RAM,CD ROM UBICADA EN AREA DE DISEÑO WEB","['cpu', 'pentium', 'iv', 'ghz', 'ht', 'gb', 'dd', 'ramcd', 'rom', 'ubicada', 'area', 'diseo', 'web']"
Equipo,Equipo,THE KITCHEN SYNC (2 PZAS.) *CONTROLADOR CON DISPLAY Y * CAJA RECEPTORA,"['the', 'kitchen', 'sync', 'pzas', 'controlador', 'display', 'caja', 'receptora']"
Equipo,Equipo,CONVERTIDOR DE VGA A VIDEO UBICADO EN BODEGA UMI,"['convertidor', 'vga', 'video', 'ubicado', 'bodega', 'umi']"
Mobiliario,Mobiliario,MAMPARA COLOR AZUL ELECTRICO NO.13-B,"['mampara', 'color', 'azul', 'electrico', 'nob']"
Mobiliario,Mobiliario,"EDITING RECORDER UBICADO EN CABINA DE TRANSMISIÓN MARCA JVC, MODELO BR-S811U, NO SERIE 06712879","['editing', 'recorder', 'ubicado', 'cabina', 'transmisin', 'marca', 'jvc', 'modelo', 'brsu', 'serie']"
Mobiliario,Mobiliario,UNIFILA,['unifila']
Mobiliario,Mobiliario,PANTALLA (UBICADA EN LA SALA DE JUNTAS),"['pantalla', 'ubicada', 'sala', 'juntas']"
Equipo,Equipo,CPU PENTIUM 4 UBICACIÓN EN MÁQ. 22,"['cpu', 'pentium', 'ubicacin', 'mq']"
Equipo,Equipo,IMPRESORA LASER (UBICADA EN EL AREA DE RECEPCIÓN),"['impresora', 'laser', 'ubicada', 'area', 'recepcin']"
Equipo,Equipo,TECLADO PARA COMPUTADORA UBICACIÓN RECEP. 2,"['teclado', 'computadora', 'ubicacin', 'recep']"
Equipo,Equipo,"CON MONITOR CN-0CC639-72872-5AK-253C, TECLADO CN-0W7646-37172-5CE-02PA, MOUSE HCA54036639 UBICADA EN","['monitor', 'cnccakc', 'teclado', 'cnwcepa', 'mouse', 'hca', 'ubicada']"
Equipo,Equipo,C.P.U. PENTIUM (32EC02966-C2). NR=501/547 Y 548,"['cpu', 'pentium', 'ecc', 'nr']"
Equipo,Equipo,CABLE MODEM,"['cable', 'modem']"
Equipo,Equipo,MICROFONO INALAMBRICO (UHF),"['microfono', 'inalambrico', 'uhf']"
Equipo,Equipo,"IMPRESORA DE INYECCIÓN DE TINTA, OBSOLETA.","['impresora', 'inyeccin', 'tinta', 'obsoleta']"
Equipo,Equipo,IMPRESORA HEWLETT PACKARD LASER JET 2500L COLOR,"['impresora', 'hewlett', 'packard', 'laser', 'jet', 'l', 'color']"
Equipo,Equipo,"COMPUTADORA COLOR BLANCA CON TECLADO 1L370B0149B, MONITOR 156331A2E24VAC28 MOUSE LZB14350285, SE ENC","['computadora', 'color', 'blanca', 'teclado', 'lbb', 'monitor', 'aevac', 'mouse', 'lzb', 'se', 'enc']"
Equipo,Equipo,BOCINA BTC (32EB02487-D1),"['bocina', 'btc', 'ebd']"
Mobiliario,Mobiliario,ANAQUEL DE METAL DE 5 REPISAS COLOR CAFE. COMITÉ DE TITULACIÓN,"['anaquel', 'metal', 'repisas', 'color', 'cafe', 'comit', 'titulacin']"
Equipo,Equipo,VENTILADOR/E3,['ventiladore']
Equipo,Equipo,MOUSE 40EE03172-C1,"['mouse', 'eec']"
Equipo,Equipo,PANTALLA 4X3 MTS,"['pantalla', 'mts']"
Equipo,Equipo,MOUSE UBICADO EN AREA DE PRODUCCIÓN,"['mouse', 'ubicado', 'area', 'produccin']"
Mobiliario,Mobiliario,MARCO DE MADERA DE 46 X 59 COLOR NEGRO QUE CONTIENE LA IMAGEN DEL ESCUDO DEL CUCEI,"['marco', 'madera', 'color', 'negro', 'contiene', 'imagen', 'escudo', 'cucei']"
Mobiliario,Mobiliario,MESA PARA COMPUTADORA DE 90 X 50 CM.,"['mesa', 'computadora', 'cm']"
Equipo,Equipo,REGULADOR DE VOLTAJE UBICADO EN SALA DE VIDEO,"['regulador', 'voltaje', 'ubicado', 'sala', 'video']"
Equipo,Equipo,AUDIFONOS CON MICROFONO,"['audifonos', 'microfono']"
Equipo,Equipo,TECLADO PARA COMPUTADORA UBICACIÓN EN PRESTADOR 1,"['teclado', 'computadora', 'ubicacin', 'prestador']"
Equipo,Equipo,"COMPUTADORA CON MONITOR THINK VISION, TECLADO IBM, MOUSE IBM, REGULADOR PALM TOP 1000 TDE","['computadora', 'monitor', 'think', 'vision', 'teclado', 'ibm', 'mouse', 'ibm', 'regulador', 'palm', 'top', 'tde']"
Mobiliario,Mobiliario,"ARCHIVERO METÁLICO, COLOR GRIS, CON PUERTAS CORREDIZAS DE CRISTAL, CON CANDADO TIPO VITRINA CLAVE:","['archivero', 'metlico', 'color', 'gris', 'puertas', 'corredizas', 'cristal', 'candado', 'tipo', 'vitrina', 'clave']"
Equipo,Equipo,"PENTIUM 4, 3200 MHZ","['pentium', 'mhz']"
Equipo,Equipo,"CPU INTEL PENTIUM 4, MONITOR DAEWOO, TECLADO ACTECK, MOUSE GENIUS.","['cpu', 'intel', 'pentium', 'monitor', 'daewoo', 'teclado', 'acteck', 'mouse', 'genius']"
Equipo,Equipo,ESCTITORIO SECRETARIAL MADERA 2 CAJONES,"['esctitorio', 'secretarial', 'madera', 'cajones']"
Equipo,Equipo,COMPUTADORA COMPAQ INTEL PENTIUM 4,"['computadora', 'compaq', 'intel', 'pentium']"
Equipo,Equipo,VIDEO PROYECTOR INFOCUS MOD. X1 1000 LUMENS,"['video', 'proyector', 'infocus', 'mod', 'lumens']"
Mobiliario,Mobiliario,ESCRITORIO SEMIEJECUTIVO DE MADERA 1.85X75,"['escritorio', 'semiejecutivo', 'madera']"
Equipo,Equipo,"CPU PENTIUM IV, 2.6 GHZ, HT, 40GB DD, 512RAM, CD ROM","['cpu', 'pentium', 'iv', 'ghz', 'ht', 'gb', 'dd', 'ram', 'cd', 'rom']"
Mobiliario,Mobiliario,SILLON EJECUTIVO CON RODAJAS COLOR NEGRO,"['sillon', 'ejecutivo', 'rodajas', 'color', 'negro']"
Equipo,Equipo,TECLADO PARA COMPUTADORA COLOR HUESO,"['teclado', 'computadora', 'color', 'hueso']"
Mobiliario,Mobiliario,ESCRITORIO  DE 52X1.05,['escritorio']
Mobiliario,Mobiliario,SILLA TUBULAR EN COLOR NEGRO,"['silla', 'tubular', 'color', 'negro']"
Equipo,Equipo,TELEFONO FAX BROTHER  EN COLOR BLANCO OSTION CON AZUL FUERTE,"['telefono', 'fax', 'brother', 'color', 'blanco', 'ostion', 'azul', 'fuerte']"
Mobiliario,Mobiliario,PINTARRON DE 90 X 120 CM,"['pintarron', 'cm']"
Equipo,Equipo,NO BREAK.PROPIEDAD DEL POSGRADO EN CIENCIAS EN PROCESOS BIOTECNOLÓGICOS (MEASTRÍA Y DOCTORADO),"['breakpropiedad', 'posgrado', 'ciencias', 'procesos', 'biotecnolgicos', 'meastra', 'doctorado']"
Equipo,Equipo,LAP TOP COMPAQ VAIO,"['lap', 'top', 'compaq', 'vaio']"
Equipo,Equipo,"COMPUTADORA PENTIUM 4, 2.6GHZ, 512MB, DDR RAM 60GB DD MOTHERBOARD INTEL, UNIDAD CD-ROM Y FLOPPY","['computadora', 'pentium', 'ghz', 'mb', 'ddr', 'ram', 'gb', 'dd', 'motherboard', 'intel', 'unidad', 'cdrom', 'floppy']"
Equipo,Equipo,ARCHIVERO DE AGLOMERADO CON CUBIERTA DE MELAMINA.,"['archivero', 'aglomerado', 'cubierta', 'melamina']"
Equipo,Equipo,TRANSFORMADOR DE BANDA ANCHA,"['transformador', 'banda', 'ancha']"
Equipo,Equipo,MONITOR HP 71,"['monitor', 'hp']"
Equipo,Equipo,TELEFONOS DIGITALES,"['telefonos', 'digitales']"
Equipo,Equipo,HARD DRIVE EXTERNO MARCA IOMEGA,"['hard', 'drive', 'externo', 'marca', 'iomega']"
Equipo,Equipo,COMPUTADORA EMAC,"['computadora', 'emac']"
Mobiliario,Mobiliario,MAMPARA DE 75 X 1.10,['mampara']
Mobiliario,Mobiliario,SILLA SECRETARIAL C/RODAJAS COLOR:NEGRO C/GRIS,"['silla', 'secretarial', 'crodajas', 'colornegro', 'cgris']"
Equipo,Equipo,MULTICONTACTO COLOR BEIGE POWER TECHNOLOGY,"['multicontacto', 'color', 'beige', 'power', 'technology']"
Mobiliario,Mobiliario,"SILLA FIJA DE METAL, RECEPCION","['silla', 'fija', 'metal', 'recepcion']"
Equipo,Equipo,GUILLOTINA DE MADERA C/PLASTICO COLOR.CAFE,"['guillotina', 'madera', 'cplastico', 'colorcafe']"
Equipo,Equipo,"ENFRIADOR Y CALENTADOR DE AGUA, DOS LLAVES, COLOR CREMA","['enfriador', 'calentador', 'agua', 'dos', 'llaves', 'color', 'crema']"
Mobiliario,Mobiliario,MESA BINARIA DE 1.50 X .40 MTS.,"['mesa', 'binaria', 'mts']"
Mobiliario,Mobiliario,SILLON EJECUTIVO RESPALDO BAJO,"['sillon', 'ejecutivo', 'respaldo', 'bajo']"
Mobiliario,Mobiliario,BUTACAS DE COLOR AZUL EN REGULARES CONDICIONES SISTEMS DIGITALES,"['butacas', 'color', 'azul', 'regulares', 'condiciones', 'sistems', 'digitales']"
Mobiliario,Mobiliario,"SILLA TAPIZADA COLOR AZUL DE PLIANA, CON BRAZOS, PATAS METALICAS. UBICACION OFICINA DEL SECRETARIO.","['silla', 'tapizada', 'color', 'azul', 'pliana', 'brazos', 'patas', 'metalicas', 'ubicacion', 'oficina', 'secretario']"
Equipo,Equipo,"AIRE ACONDICIONADO TIPO VENTANA, COLOR BLANCO, CON CONTROL REMOTO, MARCA CARRIER, CLIMA 8000 BTUS 11","['aire', 'acondicionado', 'tipo', 'ventana', 'color', 'blanco', 'control', 'remoto', 'marca', 'carrier', 'clima', 'btus']"
Equipo,Equipo,REFRIFERADOR FRIGO-BAR,"['refriferador', 'frigobar']"
Mobiliario,Mobiliario,CREDENZA DE MADERA 1.70 X 39.5 MTS,"['credenza', 'madera', 'mts']"
Equipo,Equipo,CAJAS DE RESONANCIA,"['cajas', 'resonancia']"
Equipo,Equipo,"TECLADO PARA COMPUTADORA, COLOR GRIS CLARO, UBICACION LABORATORIO DE INVESTIGACION Y DESARROLLO FARM","['teclado', 'computadora', 'color', 'gris', 'claro', 'ubicacion', 'laboratorio', 'investigacion', 'desarrollo', 'farm']"
Equipo,Equipo,BOBINA DE N=500 VUELTAS UBICACION: LABORATORIO DE ELECTROMAGNETISMO,"['bobina', 'n', 'vueltas', 'ubicacion', 'laboratorio', 'electromagnetismo']"
Equipo,Equipo,TERMOGRAFO HOBO V2,"['termografo', 'hobo', 'v']"
Equipo,Equipo,GIROSCOPIO,['giroscopio']
Equipo,Equipo,MESA OPTICA 1.22 X 0.61,"['mesa', 'optica']"
Equipo,Equipo,CONJUNTO DE OPTICA BÁSICA (ESTUCHES AZULES),"['conjunto', 'optica', 'bsica', 'estuches', 'azules']"
Equipo,Equipo,"TECLADO PARA COMPUTADORA, COLOR GRIS CLARO, UBICAICON LETICIA.","['teclado', 'computadora', 'color', 'gris', 'claro', 'ubicaicon', 'leticia']"
Equipo,Equipo,BAÑO DE ULTRASONIDO,"['bao', 'ultrasonido']"
Equipo,Equipo,PRISMA HUECO EQUILATERO,"['prisma', 'hueco', 'equilatero']"
Equipo,Equipo,DINAMOMETRO DE 200 P,"['dinamometro', 'p']"
Equipo,Equipo,"TELEFONO MULTILINE, COLOR BLANCO, UBICACION EN LA BODEGA 1.","['telefono', 'multiline', 'color', 'blanco', 'ubicacion', 'bodega']"
Equipo,Equipo,BATERIA LAPTOP,"['bateria', 'laptop']"
Mobiliario,Mobiliario,"MESA DE CENTRO DE MADERA, UBICACION EN LA RECEPCION.","['mesa', 'centro', 'madera', 'ubicacion', 'recepcion']"
Mobiliario,Mobiliario,"CREDENZA DE MADERA, COLOR GRAFITO/NEGRO, CON DOS ENTREPAÑOS Y DOS PUERTAS, UBICACION OFICINA DEL DIR","['credenza', 'madera', 'color', 'grafitonegro', 'dos', 'entrepaos', 'dos', 'puertas', 'ubicacion', 'oficina', 'dir']"
Mobiliario,Mobiliario,"SILLA SECRETARIAL CON RODAJAS COLOR CAFE TAPIZADA EN PLIANA, UBICACION DEPARTAMENTO DE FARMACOBIOLOG","['silla', 'secretarial', 'rodajas', 'color', 'cafe', 'tapizada', 'pliana', 'ubicacion', 'departamento', 'farmacobiolog']"
Mobiliario,Mobiliario,PIZARRON DE PARED COLOR VERDE.,"['pizarron', 'pared', 'color', 'verde']"
Mobiliario,Mobiliario,NO BREAKE. MARCA TRIPP-LITE.,"['breake', 'marca', 'tripplite']"
Equipo,Equipo,ELECTRODO PARA SULFUROS,"['electrodo', 'sulfuros']"
Mobiliario,Mobiliario,MESA METALICA COLOR GRIS (REMINGTON) 1A-28-1-88,"['mesa', 'metalica', 'color', 'gris', 'remington']"
Mobiliario,Mobiliario,LOCKER DE MADERA,"['locker', 'madera']"
Equipo,Equipo,SEPARADOR DE FLUJOS DE 300 MM DE DIAMETRO.,"['separador', 'flujos', 'mm', 'diametro']"
Equipo,Equipo,BOBINA DE N=10000 VUELTAS UBICACION: LABORATORIO DE ELECTROMAGNETISMO,"['bobina', 'n', 'vueltas', 'ubicacion', 'laboratorio', 'electromagnetismo']"
Mobiliario,Mobiliario,MARCO CON LA CLASIFICACION DE NUBES,"['marco', 'clasificacion', 'nubes']"
Equipo,Equipo,MECHERO BUNSEN PAR GAS BUTANOUBICACION: LABORATORIO DE ELECTROMAGNETISMO,"['mechero', 'bunsen', 'par', 'gas', 'butanoubicacion', 'laboratorio', 'electromagnetismo']"
Equipo,Equipo,CONVERTIDOR PARA LENTE TELECENTRICO,"['convertidor', 'lente', 'telecentrico']"
Mobiliario,Mobiliario,ARCHIVERO METALICO GRIS,"['archivero', 'metalico', 'gris']"
Mobiliario,Mobiliario,MESA PARA MULTIUSOS DE MADERA PARA TELEVISIÓN,"['mesa', 'multiusos', 'madera', 'televisin']"
Mobiliario,Mobiliario,MESAS CONBINADAS DE MADERA Y METAL (GRANDES),"['mesas', 'conbinadas', 'madera', 'metal', 'grandes']"
Mobiliario,Mobiliario,ESTUFA ACROS PRESTIGE,"['estufa', 'acros', 'prestige']"
Mobiliario,Mobiliario,CESTO DE BASURA DE MADERA.,"['cesto', 'basura', 'madera']"
Equipo,Equipo,MATRAZ DE DESTILACIÓN 500 ML.,"['matraz', 'destilacin', 'ml']"
Mobiliario,Mobiliario,PANTALLA PORTATIL GRANDE,"['pantalla', 'portatil', 'grande']"
Mobiliario,Mobiliario,BANCOS DE METAL,"['bancos', 'metal']"
Equipo,Equipo,PLATO CALIENTE,"['plato', 'caliente']"
Mobiliario,Mobiliario,MAQUINA DE ESCRIBIR ELECTRICA MARCA IBM. OBSERVACION:  NO FUNCIONA,"['maquina', 'escribir', 'electrica', 'marca', 'ibm', 'observacion', 'funciona']"
Equipo,Equipo,MONITOR DE PARA COMPUTADORA,"['monitor', 'computadora']"
Mobiliario,Mobiliario,BANCO DE MADERA CON PATAS DE METAL,"['banco', 'madera', 'patas', 'metal']"
Mobiliario,Mobiliario,GUILLOTINA LAB. ELECTROQUIMICA,"['guillotina', 'lab', 'electroquimica']"
Equipo,Equipo,PAR DE BOCINAS COLOR BLANCO CON AZUL,"['par', 'bocinas', 'color', 'blanco', 'azul']"
Equipo,Equipo,REGULADOR Y ESTABILIZADOR DE VOLTAJE,"['regulador', 'estabilizador', 'voltaje']"
Equipo,Equipo,BALANZA,['balanza']
Equipo,Equipo,CPU DE COMPUTADORA,"['cpu', 'computadora']"
Mobiliario,Mobiliario,"MESA PARA COMPUTADORA, CON UN CAJON, CORREDOR PARA TECLADO Y 5 DIVISIONES PARA DOCUMENTAR. COLOR CAF","['mesa', 'computadora', 'cajon', 'corredor', 'teclado', 'divisiones', 'documentar', 'color', 'caf']"
Mobiliario,Mobiliario,ARCHIVERO DE 2 GAVETAS,"['archivero', 'gavetas']"
Equipo,Equipo,QUEMADOR DE DISCO DVD/CD,"['quemador', 'disco', 'dvdcd']"
Mobiliario,Mobiliario,BALANAZA GRANATARIA,"['balanaza', 'granataria']"
Mobiliario,Mobiliario,PORTA-GARRAFON,['portagarrafon']
Mobiliario,Mobiliario,JUEGO SEMI EJECUTIVO DE ESCRITORIO CON LATERAL COLOR NEGRO CON PERA,"['juego', 'semi', 'ejecutivo', 'escritorio', 'lateral', 'color', 'negro', 'pera']"
Mobiliario,Mobiliario,SILLA COLOR VERDE CON RODAJAS MARCA REQUIEZ,"['silla', 'color', 'verde', 'rodajas', 'marca', 'requiez']"
Equipo,Equipo,INCUBADORA (PEF),"['incubadora', 'pef']"
Mobiliario,Mobiliario,PIZARRON (120*300 CM),"['pizarron', 'cm']"
Equipo,Equipo,ESTUFA DE INCUBACION BACTERIANA,"['estufa', 'incubacion', 'bacteriana']"
Equipo,Equipo,ESTUFA DE CULTIVO,"['estufa', 'cultivo']"
Mobiliario,Mobiliario,MESA METÁLICA CUBIERTA MELAMINA,"['mesa', 'metlica', 'cubierta', 'melamina']"
Equipo,Equipo,CAMARA VIDEO FLEX ADAPTABLE A CUALQUIER  MICROSCOPIO (CON ADAPTADOR DE CORRIENTE) (PIFI 3.1),"['camara', 'video', 'flex', 'adaptable', 'cualquier', 'microscopio', 'adaptador', 'corriente', 'pifi']"
Mobiliario,Mobiliario,MESA PARA COMPUTADORA MELAMINA COLOR BLANCO,"['mesa', 'computadora', 'melamina', 'color', 'blanco']"
Mobiliario,Mobiliario,GABINETE DE METAL CON DOS PUERTAS DE VIDRIO,"['gabinete', 'metal', 'dos', 'puertas', 'vidrio']"
Equipo,Equipo,(BOCINAS),['bocinas']
Mobiliario,Mobiliario,VITRINA DE METAL VERTICAL CON VIDRIO,"['vitrina', 'metal', 'vertical', 'vidrio']"
Mobiliario,Mobiliario,GABINETE DE METAL DE DOS PUERTAS CON CRISTAL ESTANTE,"['gabinete', 'metal', 'dos', 'puertas', 'cristal', 'estante']"
Equipo,Equipo,MAQUINA DE ESCRIBIR,"['maquina', 'escribir']"
Equipo,Equipo,COPIADORA CANNON NP 6050,"['copiadora', 'cannon', 'np']"
Transporte,Transporte,"ES UNA BASE PARA TRANSPORTAR UNA LANCHA, ES DE FABRICACION NACIONAL POR UN FABRICANTE NAUTICO, ES CO","['base', 'transportar', 'lancha', 'fabricacion', 'nacional', 'fabricante', 'nautico', 'co']"
Transporte,Transporte,"LANCHA CON NOMBRE CUCEI, DE FABRICACION NACIONAL,MOTOR FUERA DE BORDA DE 55 HP, ESLORA 5.06 MTS, MAN","['lancha', 'nombre', 'cucei', 'fabricacion', 'nacionalmotor', 'fuera', 'borda', 'hp', 'eslora', 'mts', 'man']"
Mobiliario,Mobiliario,ESCRITORIO SECRETARIAL DE METAL CUBIERTA FORMAICA,"['escritorio', 'secretarial', 'metal', 'cubierta', 'formaica']"
Equipo,Equipo,PIZARRON DE CORCHO DE 1.20.5 M X 0.90 M,"['pizarron', 'corcho', 'm', 'm']"
Mobiliario,Mobiliario,MESA COMBINADA MADERA Y METAL DE 60 CM X 120 CM X 76 CM,"['mesa', 'combinada', 'madera', 'metal', 'cm', 'cm', 'cm']"
Mobiliario,Mobiliario,ARCHIVERO DE MADERA VERTICAL CON 4 CAJONES DE 45 CM X 50 CM X 122 CM (PROMEP),"['archivero', 'madera', 'vertical', 'cajones', 'cm', 'cm', 'cm', 'promep']"
Mobiliario,Mobiliario,"ARCHIVEROS DE METAL DE 4 CAJONES PARA TRABAJO PESADO, COLOR NARANJA","['archiveros', 'metal', 'cajones', 'trabajo', 'pesado', 'color', 'naranja']"
Equipo,Equipo,ROTATOR,['rotator']
Equipo,Equipo,INCUBADORA CON AGITACIÓN,"['incubadora', 'agitacin']"
Equipo,Equipo,INCUBADORA (PIFI 3.1),"['incubadora', 'pifi']"
Mobiliario,Mobiliario,VITRINA DE METAL CON VIDRIO COLOR GRIS,"['vitrina', 'metal', 'vidrio', 'color', 'gris']"
Mobiliario,Mobiliario,DE MADERA COLOR CAFE CON 3 CAJONES LATERALES  1.80 X 1.20 Y CUBIERTA DE CRISTAL.,"['madera', 'color', 'cafe', 'cajones', 'laterales', 'cubierta', 'cristal']"
Equipo,Equipo,"MACBOOK 13"" 1.83 GHZ/512MB/60 GB/COMBO (COMPUTADORA)","['macbook', 'ghzmb', 'gbcombo', 'computadora']"
Equipo,Equipo,MAQUINA SELLADORA PARA AMPOLLETAS (LAB. TECNOLOGIA FARMAC.),"['maquina', 'selladora', 'ampolletas', 'lab', 'tecnologia', 'farmac']"
Mobiliario,Mobiliario,ANAQUEL DE METAL CON 2 PUERTAS DE METAL DE 4 ENTREPAÑOS,"['anaquel', 'metal', 'puertas', 'metal', 'entrepaos']"
Equipo,Equipo,FUSIOMETRO (PIFI 3.1),"['fusiometro', 'pifi']"
Equipo,Equipo,BAÑO MARIA (PIFI 3.1),"['bao', 'maria', 'pifi']"
Equipo,Equipo,PIZONES DE HANSTO,"['pizones', 'hansto']"
Equipo,Equipo,ESTEREOSCOPIO DE BOLSILLO,"['estereoscopio', 'bolsillo']"
Mobiliario,Mobiliario,SILLA GIRATORIA CON RODAJAS COLOR NEGRO,"['silla', 'giratoria', 'rodajas', 'color', 'negro']"
Equipo,Equipo,APARATO PARA MEDIR EL AIRE EN EL CONCRETO,"['aparato', 'medir', 'aire', 'concreto']"
Mobiliario,Mobiliario,MESA PARA COMPUTADORA NEGRA,"['mesa', 'computadora', 'negra']"
Mobiliario,Mobiliario,"ANAQUEL DE METAL DE 3 ESPACIOS, 180*110*35","['anaquel', 'metal', 'espacios']"
Mobiliario,Mobiliario,"BANCO P/RESTIRADOR, C/AZUL","['banco', 'prestirador', 'cazul']"
Equipo,Equipo,ARO PARA MANOMETROS,"['aro', 'manometros']"
Equipo,Equipo,CAJA DE HERRAMIENTAS CIB 153 PIEZAS,"['caja', 'herramientas', 'cib', 'piezas']"
Equipo,Equipo,SISTEMA GPS QUE CUENTA CON 1 ADAPTADOR2 BATERIAS 1 RECEPTORESTUCHE,"['sistema', 'gps', 'cuenta', 'adaptador', 'baterias', 'receptorestuche']"
Mobiliario,Mobiliario,ESCRITORIO CON DOBLE CAJONERA 170 X 75 CMS.,"['escritorio', 'doble', 'cajonera', 'cms']"
Equipo,Equipo,ESTACION TOTAL ESTADO (BIEN) QUE CONSTA CON CARGADOR DE BATERIA UN ADAPTADOR UNA BATERIA UN FORRO CA,"['estacion', 'total', 'estado', 'bien', 'consta', 'cargador', 'bateria', 'adaptador', 'bateria', 'forro', 'ca']"
Mobiliario,Mobiliario,CEREDENZA CON PUERTAS DE CRISTAL DE 70 X 230 X 40 CM,"['ceredenza', 'puertas', 'cristal', 'cm']"
Mobiliario,Mobiliario,ARCHIVERO METALICO 4 CAJONES DE 46 X 134 X 72,"['archivero', 'metalico', 'cajones']"
Equipo,Equipo,TORNILLO DE BANCO NO. 4,"['tornillo', 'banco']"
Equipo,Equipo,GENERADOR ELÉCTRICO DE GASOLINA,"['generador', 'elctrico', 'gasolina']"
Equipo,Equipo,1/2 BALIZA DE MADERA DE 150 CM ESTADO (REGULAR),"['baliza', 'madera', 'cm', 'estado', 'regular']"
Equipo,Equipo,CONCENTRADOR SWITCH 24 PTOS.,"['concentrador', 'switch', 'ptos']"
Equipo,Equipo,C.P.U (IQ-CUB12),"['cpu', 'iqcub']"
Equipo,Equipo,MEZCLADORA EXTRUSOR HAAKE (LIQ-PP),"['mezcladora', 'extrusor', 'haake', 'liqpp']"
Equipo,Equipo,BOLSEADORA (LIQ-PP),"['bolseadora', 'liqpp']"
Equipo,Equipo,MONITOR COLORLABCOMP A-2,"['monitor', 'colorlabcomp']"
Equipo,Equipo,PINTARRON BLANCO 240 X 120 CMS.,"['pintarron', 'blanco', 'cms']"
Equipo,Equipo,BOMBA DOSIFICADORA (LIQ-PP),"['bomba', 'dosificadora', 'liqpp']"
Mobiliario,Mobiliario,PIZARRON DE PARED (DPIQ),"['pizarron', 'pared', 'dpiq']"
Equipo,Equipo,MOUSE OPTICOLABCOMP A-1,"['mouse', 'opticolabcomp']"
Mobiliario,Mobiliario,"MESA MELAMINA, CAFE 180 X 80 CMS. ENCINO","['mesa', 'melamina', 'cafe', 'cms', 'encino']"
Equipo,Equipo,LAVADORA DE PLASTICO,"['lavadora', 'plastico']"
Equipo,Equipo,LICUADORA (LIQ-PB),"['licuadora', 'liqpb']"
Equipo,Equipo,PANTALLA PARA COLGAR,"['pantalla', 'colgar']"
Equipo,Equipo,DENSIMETRO DE 1.5-1.6,['densimetro']
Equipo,Equipo,PLACA PLANA CON EJE MÓVIL,"['placa', 'plana', 'eje', 'mvil']"
Equipo,Equipo,MOTOBOMBA DONADA POR KODAK,"['motobomba', 'donada', 'kodak']"
Equipo,Equipo,TECLADO PARA COMPUTADORA (IQ-CUB4),"['teclado', 'computadora', 'iqcub']"
Mobiliario,Mobiliario,SILLA ACOJIDANA DE PIEL CON TELA COLOR CAFE,"['silla', 'acojidana', 'piel', 'tela', 'color', 'cafe']"
Equipo,Equipo,MULTICONTACTO SIMPLEAULA-2,"['multicontacto', 'simpleaula']"
Equipo,Equipo,REFRIGERADOR FRIGO-BAR (IQ-CUB28),"['refrigerador', 'frigobar', 'iqcub']"
Equipo,Equipo,REGULADOR DE ENERGIA ESTADO (BIEN),"['regulador', 'energia', 'estado', 'bien']"
Equipo,Equipo,COMPUTADORA COMPLETA(IQ-CUB27),"['computadora', 'completaiqcub']"
Equipo,Equipo,DESTILADOR ELECTRICO,"['destilador', 'electrico']"
Equipo,Equipo,CAMARA DIGITAL MEMORIA SECURE DIGITAL,"['camara', 'digital', 'memoria', 'secure', 'digital']"
Equipo,Equipo,ARCHIVERO MOVIL,"['archivero', 'movil']"
Mobiliario,Mobiliario,SILLA TUBULAR/TAPIZ NEGRO (DPIQ),"['silla', 'tubulartapiz', 'negro', 'dpiq']"
Mobiliario,Mobiliario,SILLA VINIL NEGRA,"['silla', 'vinil', 'negra']"
Mobiliario,Mobiliario,LIBRERO SAUDER CREDENZA,"['librero', 'sauder', 'credenza']"
Equipo,Equipo,TENSIOMETRO DIGITAL (LIQ-RE),"['tensiometro', 'digital', 'liqre']"
Equipo,Equipo,TECLADO PARA COMPUTADORACUBICULOS MAESTROS,"['teclado', 'computadoracubiculos', 'maestros']"
Equipo,Equipo,REACTOR CON CONTROL DE TEMPERATURA,"['reactor', 'control', 'temperatura']"
Equipo,Equipo,MOLINO DE MARTILLOS,"['molino', 'martillos']"
