Tipo,Subtipo,Descripcion,Descripcion_Limpia
Equipo,Equipo,Equipo de aire acondicionado para laboratorio tipo mini-split de 2 TR,"['equipo', 'aire', 'acondicionado', 'laboratorio', 'tipo', 'minisplit', 'tr']"
Equipo,Equipo,EXTINTOR NUEVO 10LBS CO2 MCA EXAIN MIVÂME S/N DE SERIE,"['extintor', 'nuevo', 'lbs', 'co', 'mca', 'exain', 'mivme', 'sn', 'serie']"
Equipo,Equipo,"LENTE PARA CAMARA DIGITAL, F/2.8G ED","['lente', 'camara', 'digital', 'fg', 'ed']"
Equipo,Equipo,compresor 2.5 hp 24lts 125 psi monofasico lubricado por aceite,"['compresor', 'hp', 'lts', 'psi', 'monofasico', 'lubricado', 'aceite']"
Equipo,Equipo,MICROPIPETA PROLINE 100-1000 UL METRIXMAESTRA ROSA MA. DOMINGUEZ ARIAS,"['micropipeta', 'proline', 'ul', 'metrixmaestra', 'rosa', 'ma', 'dominguez', 'arias']"
Mobiliario,Mobiliario,BUTACA ROJA PARA AUDITORIO,"['butaca', 'roja', 'auditorio']"
Mobiliario,Mobiliario,"ARCHIVERO 3 GAVETAS VERTICAL DE MADERA CON CHAPA, FACTURA: 1856, CON FECHA 07/10/2013, PROVEEDOR: AM","['archivero', 'gavetas', 'vertical', 'madera', 'chapa', 'factura', 'fecha', 'proveedor', 'am']"
Equipo,Equipo,"IMAC 27"" CORE I5 A 3.2GHZ TURBO BOOST DE HASTA 3.6GHZ CON 6MB DE CACHE DE NIVEL 3.8GHZ, MEMORIA DDR3","['imac', 'core', 'i', 'ghz', 'turbo', 'boost', 'hasta', 'ghz', 'mb', 'cache', 'nivel', 'ghz', 'memoria', 'ddr']"
Equipo,Equipo,"MULTIFUNCIONAL COLOR GRIS, COPIADORA, IMPRESORA, ESCANER Y FAX","['multifuncional', 'color', 'gris', 'copiadora', 'impresora', 'escaner', 'fax']"
Equipo,Equipo,DETECTOR DE GAS LP C/SIRENA INTEGRADA MARCA KIDDE MOD. KN-COEG-3,"['detector', 'gas', 'lp', 'csirena', 'integrada', 'marca', 'kidde', 'mod', 'kncoeg']"
Mobiliario,Mobiliario,Silla piel Dubai,"['silla', 'piel', 'dubai']"
Equipo,Equipo,PODADORA MTD WHITE 625 CORTE 21 MOTOR B&S 190 CC MODELO 11A-B24T315 SERIE 1D223K92480,"['podadora', 'mtd', 'white', 'corte', 'motor', 'bs', 'cc', 'modelo', 'abt', 'serie', 'dk']"
Equipo,Equipo,BOMBA MATRIX MOTRO GASOLINA 6.5 HP 2,"['bomba', 'matrix', 'motro', 'gasolina', 'hp']"
Equipo,Equipo,BASCULA DE PLATAFORMA (45X45 CM) DIGITAL 50 KG. BRAUNKER APROX. 10 GR.,"['bascula', 'plataforma', 'cm', 'digital', 'kg', 'braunker', 'aprox', 'gr']"
Equipo,Equipo,Bebedero sencillo en acero inoxidable,"['bebedero', 'sencillo', 'acero', 'inoxidable']"
