Equipo,Equipo,VIDEO PROYECTOR LCD DATA PROJECTOR,,,,,
Mobiliario,Mobiliario,MAMPARA EN TELA DE 91.2X04X209 CM. MODELO HAWAII COLOR ROJO BERMELLÓN,,,,,
Mobiliario,Mobiliario,MAMPARA EN TELA DE 91.2X04X209 CM. HAWAII COLOR ROJO BERMELLÓN,,,,,
Equipo,Equipo,MONITOR A COLOR PANTALLA PLANA.,,,,,
Equipo,Equipo,0.90 X 1.20,,,,,
Equipo,Equipo,"REGULADOR DE CORRIENTE DE VOLTAJE 1000 WATTS , 4 CONTACTOS, COLOR BLANCO",,,,,
Mobiliario,Mobiliario,"LIBRERO, COLOR NEGRO CANTOS DE PVC DE .40X.35X2.10 M.",,,,,
Equipo,Equipo,CPU PENTIUM DE 40 GB,,,,,
Mobiliario,Mobiliario,"ARCHIVERO HORIZONTAL DE 4 GAVETAS DE 86X48X135 CM. COLOR CAOBA, COMUN NEGRO Y CANTO NEGRO",,,,,
Mobiliario,Mobiliario,MESA CUADRADA DE MADERA CON BASE DE METAL COLOR CAFE DE 75 X 1.20,,,,,
Equipo,Equipo,TELEFONO DIGITAL MANOS LIBRES SIN JOG,,,,,
Mobiliario,Mobiliario,MESA PLEGABLE DE MADERA Y METAL 76X1.52 MTS.,,,,,
Mobiliario,Mobiliario,LATERAL PARA ESCRITORIO CON CAJONERA TAMAÑO OFICIO Y CHAPA CERRADURA CON SISTEMA PARA COLGAR FOLDERS,,,,,
Mobiliario,Mobiliario,ARCHIVERO HORIZONTAL CON 2 GAVETAS DE ARCHIVO COLOR BERLIN VINO,,,,,
Mobiliario,Mobiliario,PUENTE PARA CONJUNTO AJUSTABLE HASTA 1.00 MTS COLOR BERLIN VINO,,,,,
Equipo,Equipo,COMPUTADORA COMPAQ EXD PIII 1GHZ,,,,,
Equipo,Equipo,MONITOR PARA COMPUTADORA COMPAQ,,,,,
Mobiliario,Mobiliario,SILLA DE VISITAS SIN CODERAS COLOR NEGRO,,,,,
Mobiliario,Mobiliario,REPISA NEGRA DE CUATRO COMPARTIMENTOS (PARA PONER SOBRE ESCRITORIO),,,,,
Equipo,Equipo,COMPUTADORA PRESCOT,,,,,
Mobiliario,Mobiliario,SILLA SEMIEJECUTIVA PISTON NEUMATICO CON PERILLAS DE AJUSTE CON BRAZOS COLOR NEGRO,,,,,
Mobiliario,Mobiliario,PEDESTAL SUSPENDIDO CON 1 CAJON PAPELERO Y 1 PARA ARCHIVO,,,,,
Equipo,Equipo,LAPTOP CON DVD WRITER,,,,,
Mobiliario,Mobiliario,ESQUINERO CON 2 COSTADOS 1.66 MTS CON EXTENSION / COLOR MAPLE,,,,,
Mobiliario,Mobiliario,FRIGOBAR GE,,,,,
Mobiliario,Mobiliario,BANCO DE MADERA DE ESCALON COLOR CAFE,,,,,
Mobiliario,Mobiliario,CARRO TRANSPORTADOR DE LIBROS COLOR ARENA DE 95 X 50,,,,,
Mobiliario,Mobiliario,ENTREPAÑO DE ANAQUEL DOBLE DE 89 X 60 CM,,,,,
Mobiliario,Mobiliario,ESTANTERIA DE 360 X 211 CM,,,,,
Mobiliario,Mobiliario,ESTANTERIA DE METAL DE 211 X 733 CM,,,,,
Mobiliario,Mobiliario,MESAS DE MADERA DE 300 DE LARGO X 58 DE ANCHO X 83 DE ALTO,,,,,
Mobiliario,Mobiliario,GABINETE TIPO ALACENA CON LLAVE 2 PUERTAS,,,,,
Mobiliario,Mobiliario,ARCHIVERO DE MADERA 4 CAJONES COLOR NATURAL,,,,,
Mobiliario,Mobiliario,ARCHIVERO MADERA 3 CAJONES MEDIDA 50 X 1.26,,,,,
Mobiliario,Mobiliario,ARCHIVERO DE MADERA 2 CAJONES MADERA 50 X 66,,,,,
Mobiliario,Mobiliario,FOTOCOPIADORA MARCA RICOH FT 4822,,,,,
Mobiliario,Mobiliario,DUPLICADORA RISO MOD: GR3770,,,,,
Mobiliario,Mobiliario,LECTOR DE IMPRESOR DE MICROFILM MICROPINTER60 NO.SERIE 0988,,,,,
Mobiliario,Mobiliario,SOPORTA LIBROS TIPO ESCUADRA,,,,,
Mobiliario,Mobiliario,CREDENZA DE MADERA COLOR NEGRO/CAOBA DE 155CM DE LARGO X 45 CM DE ANCHO X 75 DE ALTO,,,,,
Mobiliario,Mobiliario,MUEBLE DE MADERA PARA FICHEROS MANUALES CON 10 CAJONES EN COLOR NARURAL CON BARRA DE COLOR BCO.,,,,,
Mobiliario,Mobiliario,ESTACION DE TRABAJO COMPUESTA POR ESCRITORIO DE 2 CAJONES DE 175 CM DELARGO X 73 DE ANCHO Y X 75CM D,,,,,
Mobiliario,Mobiliario,"C / U FTE. ALTA Y BAJA 429  DE 36,24,18 Y 14  PTS",,,,,
Mobiliario,Mobiliario,PARRILLA ELECTRICA MARCA TK MODELO E-602D.,,,,,
Mobiliario,Mobiliario,ARCHIVERO DE 3 CAJONES,,,,,
Mobiliario,Mobiliario,PINTARRON BLANCO,,,,,
Mobiliario,Mobiliario,TELAR DE ENCUADERNACION DE 58 CMS.,,,,,
Mobiliario,Mobiliario,LIBRERO 1.85 X 1.67 X .46 COLOR CAOBA 4 ENTREPAÑOS,,,,,
Mobiliario,Mobiliario,MUEBLES DE TRABAJOS LINEALES DE 1.50 MTS. DE FRENTE POR  60CM DE FONDO Y 2 MTS DE ALTURA CON SU SECC,,,,,
Mobiliario,Mobiliario,ANUNCIO DE MADERA PARA TRIPTICOS,,,,,
Mobiliario,Mobiliario,IMPRESORA EVEREST DE INTERPUNTO CARACTER EN BRAILE EN 6 PUNTOS PARALELO USB Y PROGRAMA DE FORMATEO D,,,,,
Mobiliario,Mobiliario,MOUSE GENIUS NETSCROLL TRAVELER OPTICO,,,,,
Mobiliario,Mobiliario,"SACAPUNTAS ELECTRICO, MRC: ELMERS, MOD: 1921X, COLOR NEGRO",,,,,
Mobiliario,Mobiliario,"VIDEOCASSETERA MARCA PANASONIC NSF2SA21752, MODELO MB-021PX",,,,,
Mobiliario,Mobiliario,FOTOCOPIADORA MITA DC- 3060,,,,,
Mobiliario,Mobiliario,MEZA REDONAD COLOR PINO 1.45MTS DE DIAMETRO,,,,,
Mobiliario,Mobiliario,PORTA LIBROS CARRITO AMARILLO 90CMS POR 18.5 CMS,,,,,
Equipo,Equipo,PROTECTOR DE PANTALLA,,,,,
Mobiliario,Mobiliario,SILLON 2 PLAZAS,,,,,
Equipo,Equipo,ARCHIVERO CON 3 CAJONES EN COLOR GRIS.,,,,,
Mobiliario,Mobiliario,PANTALLA TRIPIE ALFRA SILVER SCREEN 1.80,,,,,
Equipo,Equipo,MOUSE LASSER,,,,,
Mobiliario,Mobiliario,"P/MESA DE 72"" PARK AVENUE",,,,,
Equipo,Equipo,SCANER COLOR BLANCO,,,,,
